subject_drugbank_id,affected_drugbank_id
DB00018,DB01248
DB00018,DB01254
DB00018,DB01257
DB00018,DB01262
DB00018,DB01268
DB00018,DB01280
DB00018,DB01281
DB00018,DB01285
DB00018,DB01380
DB00018,DB01384
DB00018,DB01410
DB00018,DB01423
DB00018,DB01590
DB00018,DB01611
DB00018,DB01816
DB00018,DB02546
DB00018,DB02806
DB00018,DB03523
DB00018,DB04572
DB00018,DB04630
DB00018,DB04845
DB00018,DB04868
DB00018,DB04951
DB00018,DB04956
DB00018,DB05015
DB00018,DB05109
DB00018,DB05258
DB00018,DB05259
DB00018,DB05459
DB00018,DB05472
DB00018,DB05676
DB00018,DB05773
DB00018,DB06168
DB00018,DB06273
DB00018,DB06287
DB00018,DB06372
DB00018,DB06589
DB00018,DB06603
DB00018,DB06612
DB00018,DB06616
DB00018,DB06662
DB00018,DB06674
DB00018,DB06681
DB00018,DB06769
DB00018,DB06772
DB00018,DB06813
DB00018,DB08059
DB00018,DB08870
DB00018,DB08871
DB00018,DB08877
DB00018,DB08879
DB00018,DB08880
DB00018,DB08889
DB00018,DB08901
DB00018,DB08904
DB00018,DB08906
DB00018,DB08908
DB00018,DB08910
DB00018,DB08935
DB00018,DB08970
DB00018,DB09029
DB00018,DB09033
DB00018,DB09036
DB00018,DB09052
DB00018,DB09053
DB00018,DB09054
DB00018,DB09073
DB00018,DB09074
DB00018,DB09077
DB00018,DB09082
DB00018,DB09091
DB00018,DB09122
DB00018,DB09312
DB00018,DB09378
DB00018,DB09383
DB00018,DB11466
DB00018,DB11487
DB00018,DB11529
DB00018,DB11569
DB00018,DB11580
DB00018,DB11616
DB00018,DB11693
DB00018,DB11708
DB00018,DB11767
DB00018,DB11776
DB00018,DB11803
DB00018,DB11817
DB00018,DB11834
DB00018,DB11921
DB00018,DB11988
DB00018,DB12025
DB00018,DB12371
DB00018,DB12612
DB00018,DB12617
DB00018,DB12692
DB00018,DB12814
DB00018,DB12902
DB00018,DB12947
DB00018,DB12991
DB00018,DB12996
DB00018,DB13003
DB00018,DB13014
DB00018,DB13068
DB00018,DB13208
DB00018,DB13241
DB00018,DB13491
DB00018,DB13843
DB00018,DB13856
DB00018,DB13867
DB00018,DB14066
DB00018,DB14219
DB00018,DB14512
DB00018,DB14539
DB00018,DB14545
DB00018,DB14724
DB00018,DB14762
DB00018,DB14919
DB00018,DB15253
DB00022,DB00026
DB00022,DB00033
DB00022,DB00034
DB00022,DB00051
DB00022,DB00056
DB00022,DB00059
DB00022,DB00065
DB00022,DB00068
DB00022,DB00069
DB00022,DB00073
DB00022,DB00074
DB00022,DB00075
DB00022,DB00078
DB00022,DB00081
DB00022,DB00087
DB00022,DB00092
DB00022,DB00095
DB00022,DB00098
DB00022,DB00105
DB00022,DB00111
DB00022,DB00120
DB00022,DB00180
DB00022,DB00276
DB00022,DB00290
DB00022,DB00291
DB00022,DB00293
DB00022,DB00305
DB00022,DB00307
DB00022,DB00309
DB00022,DB00322
DB00022,DB00328
DB00022,DB00352
DB00022,DB00361
DB00022,DB00380
DB00022,DB00394
DB00022,DB00428
DB00022,DB00432
DB00022,DB00441
DB00022,DB00443
DB00022,DB00444
DB00022,DB00445
DB00022,DB00446
DB00022,DB00480
DB00022,DB00488
DB00022,DB00515
DB00022,DB00526
DB00022,DB00541
DB00022,DB00550
DB00022,DB00552
DB00022,DB00563
DB00022,DB00570
DB00022,DB00588
DB00022,DB00591
DB00022,DB00601
DB00022,DB00620
DB00022,DB00631
DB00022,DB00635
DB00022,DB00687
DB00022,DB00688
DB00022,DB00694
DB00022,DB00762
DB00022,DB00763
DB00022,DB00795
DB00022,DB00853
DB00022,DB00859
DB00022,DB00860
DB00022,DB00877
DB00022,DB00888
DB00022,DB00928
DB00022,DB00958
