drugbank_id,disease_id
DB01410,C0038218
DB01410,C4319581
DB06623,C0008370
DB00397,C0017601
DB00397,C0851705
DB06710,C0006142
DB15988,C0339800
DB00295,C0236124
DB14151,C0595928
DB14151,C5700155
DB12478,C0036974
DB13844,C0426732
DB01424,C0151664
DB00294,C0010054
DB00294,C1299433
DB00294,C1956346
DB00294,C0852153
DB00294,C0852149
DB00294,C2003996
DB09260,C0272285
DB08813,C5574656
DB16625,C0868560
DB16625,C0451636
DB16625,C0549206
DB01294,C5979961
DB01294,C0474585
DB01294,C0235315
DB00216,C0270860
DB00445,C0878544
DB00445,C0036529
DB00445,C0033141
DB00445,C1971648
DB00445,C0007193
DB00489,C0036980
DB00624,C1277615
DB00747,C0017605
DB14766,C0221047
DB14766,C0428908
DB14766,C0037052
DB14766,C1579172
DB00054,C0333099
DB00054,C0002940
DB13803,C0020437
DB13803,C0026141
DB13803,C1809471
DB13803,C1535536
DB06706,C0003850
DB06706,C0004153
DB12153,C0868560
DB12153,C0451636
DB12153,C0549206
DB01406,C0242205
DB01406,C1623040
DB01406,C1623041
DB15975,C4551627
DB15975,C1306872
DB15975,C0001824
DB15975,C0027947
DB15975,C1537246
DB00318,C1827786
DB00465,C4039184
DB12656,C0242205
DB12656,C1623040
DB12656,C1623041
DB00315,C1868885
DB00315,C0020538
DB09079,C0868560
DB09079,C0451636
DB09079,C0549206
DB01438,C1565489
DB01438,C0035078
DB01438,C0232807
DB01466,C0027051
DB01466,C0010072
DB01466,C1534922
DB01466,C1534921
DB12958,C0394996
DB12958,C0001969
DB00572,C0022658
DB00572,C0027697
DB00572,C0027704
DB00572,C1565489
DB00572,C0851590
DB00572,C0268731
DB00572,C1704377
DB00572,C0017658
DB00572,C0694525
DB00572,C0042075
DB00408,C1565489
DB00408,C0035078
DB00408,C0232807
DB09030,C0151699
DB09030,C0751893
DB09030,C0553692
DB03256,C0002878
DB11609,C0242205
DB11609,C1623040
DB11609,C1623041
DB09462,C0003460
DB00848,C0018939
DB00848,C0947743
DB00848,C1533163
DB00669,C0270860
DB00030,C0745153
DB00030,C0020615
DB06292,C2316810
DB06292,C1719537
DB06292,C0022661
DB03256,C0018995
DB03256,C0392514
DB03256,C1534239
DB15790,C0868560
DB15790,C0451636
DB15790,C0549206
DB06282,C2316810
DB06282,C1719537
DB06282,C0022661
DB00091,C0003873
DB00091,C5445125
DB00091,C0398795
DB13256,C0868560
DB13256,C0451636
DB13256,C0549206
DB15835,C0009768
DB15835,C0009763
DB01046,C0400843
DB00586,C1565489
DB00586,C0035078
DB00586,C0232807
DB00804,C0677659
DB00804,C0014869
DB00804,C2004419
DB00804,C1535588
DB00804,C0017168
DB13620,C1443924
DB08885,C0015403
DB12235,C1619727
DB12235,C0023890
DB00216,C1868885
DB00216,C0020538
DB04884,C0042420
DB04884,C0234437
DB04884,C0039070
DB04884,C0751537
DB04884,C0340855
DB04884,C0259813
DB04884,C0751536
DB04884,C0235242
DB04884,C0221046
DB04884,C0751535
DB04884,C0751534
DB04884,C0340854
DB04884,C0700200
DB04884,C0234435
DB04884,C0751539
DB04884,C0751538
DB04884,C0339780
DB04884,C0312422
DB04884,C0036974
DB08810,C0151613
DB08810,C0043065
DB08810,C0852198
DB08810,C0342579
DB08810,C1704431
DB08810,C1971018
DB08810,C0267994
DB01285,C0024799
DB01285,C0030920
DB01285,C1384631
DB01285,C1971686
DB01285,C1579179
DB08985,C1739363
DB08985,C2937421
DB08985,C1704272
DB12248,C0003811
DB12248,C0264886
DB12212,C0036980
DB00030,C1527303
DB00030,C0024117
DB00030,C0348693
DB00030,C1390714
DB00030,C0155874
DB00030,C0024115
DB00030,C0746102
DB00030,C0035204
DB00030,C0264220
DB00030,C0155880
DB00030,C0004096
DB00030,C1387164
DB00030,C1260881
DB00030,C0494660
DB00030,C1388869
DB00030,C0155877
DB00030,C0264411
DB00030,C1319018
DB11793,C0242205
DB11793,C1623040
DB11793,C1623041
DB00663,C0162628
DB00970,C0008049
DB00970,C0586989
DB11823,C5970489
DB11823,C0334533
DB11823,C5960017
DB11823,C0003857
DB11823,C1535113
DB11823,C0151489
DB16539,C0086588
DB16539,C1579138
DB06710,C0600139
DB06710,C0376358
DB13327,C0869086
DB13327,C0019080
DB09389,C0868560
DB09389,C0451636
DB09389,C0549206
DB14598,C0019158
DB00048,C0221714
DB16200,C0004623
DB16200,C0949113
DB16200,C2239242
DB00652,C0278138
DB00400,C5848306
DB00400,C5848305
DB09298,C0008370
DB13694,C0428977
DB16584,C0024799
DB16584,C0030920
DB16584,C1384631
DB16584,C1971686
DB16584,C1579179
DB00016,C0034902
DB13949,C0039730
DB13949,C2004288
DB13949,C1534246
DB13166,C1565489
DB13166,C0035078
DB13166,C0232807
DB09262,C0017605
DB13956,C0868560
DB13956,C0451636
DB13956,C0549206
DB00717,C0345904
DB11582,C0868560
DB11582,C0451636
DB11582,C0549206
DB00318,C0267474
DB00318,C0030446
DB12212,C0020542
DB12212,C0152171
DB00320,C0151744
DB00320,C0010054
DB00320,C2003997
DB09028,C0003811
DB09028,C0264886
DB00747,C0178879
DB12708,C0341165
DB14643,C0041296
DB06144,C2732979
DB00252,C0085610
DB14591,C0275518
DB14591,C3714514
DB01579,C0017601
DB01579,C0851705
DB11089,C0000727
DB11089,C2910387
DB11186,C0242205
DB11186,C1623040
DB11186,C1623041
DB01054,C0581377
DB01054,C0018801
DB16000,C5848306
DB16000,C5848305
DB01426,C0428977
DB00390,C0042510
DB01255,C1299544
DB08971,C0553576
DB11653,C1868885
DB11653,C0020538
DB04924,C0400843
DB00396,C1277190
DB00396,C0006142
DB00922,C0042512
DB15888,C0267474
DB15888,C0030446
DB01015,C0868560
DB01015,C0451636
DB01015,C0549206
DB00465,C0151664
DB09123,C0006142
DB14500,C0020456
DB14500,C1855520
DB08971,C0019348
DB08971,C1541000
DB08971,C1571820
DB02925,C0028961
DB02925,C3887784
DB13620,C0022658
DB13620,C0027697
DB13620,C0027704
DB13620,C1565489
DB13620,C0851590
DB13620,C0268731
DB13620,C1704377
DB13620,C0017658
DB13620,C0694525
DB13620,C0042075
DB15889,C0242205
DB15889,C1623040
DB15889,C1623041
DB13694,C0235360
DB13694,C0151824
DB13949,C0019693
DB13949,C4505456
DB13949,C1535437
DB13949,C3854222
DB00908,C0857305
DB00908,C1571920
DB00908,C2004285
DB13612,C0017181
DB13612,C0018932
